"id","country_id","code","name","state_code","locode"
72177,158,DEG,Degollado,JAL,MX DEG
72178,158,DFL,Distrito Federal,BCN,MX DFL
72179,158,DGO,Durango,DUR,MX DGO
72180,158,DHD,Dolores Hidalgo,GUA,MX DHD
72181,158,DOC,Doctor Arroyo,NLE,MX DOC
72182,158,DSS,San Juan de Sabinas,COA,MX DSS
72183,158,DZI,Dzilam de Bravo,MEX,MX DZI
72184,158,DZT,Dzitas,YUC,MX DZT
72185,158,E2Z,Emiliano Zapata,VER,MX E2Z
72186,158,EA2,Barretal,TAM,MX EA2
72187,158,EAJ,El Arenal,JAL,MX EAJ
72188,158,ECA,El Carmen,NLE,MX ECA
72189,158,ECB,Escobedo,COA,MX ECB
72190,158,ECC,Escarcega,CAM,MX ECC
72191,158,ECT,El Chapo,TAB,MX ECT
72192,158,ECU,Ecuandureo,MIC,MX ECU
72193,158,EDM,Estado de Mexico,CAM,MX EDM
72194,158,EHG,Escuinapa de Hidalgo,SIN,MX EHG
72195,158,EHV,El Higo,VER,MX EHV
72196,158,ELC,El Coacoyul,GRO,MX ELC
72197,158,ELD,Eldorado,,MX ELD
72198,158,ELF,El Fuerte,SIN,MX ELF
72199,158,ELN,El Naranjillo,GRO,MX ELN
72200,158,ELP,El Paso,COA,MX ELP
72201,158,ELR,El Ranchito,MIC,MX ELR
72202,158,ELS,El Salto,,MX ELS
72203,158,EMQ,El Marques,QUE,MX EMQ
72204,158,EMZ,Emiliano Zapata,MOR,MX EMZ
72205,158,EPC,Ecatepec,MEX,MX EPC
72206,158,EPM,Empalme,SON,MX EPM
72207,158,EPO,El Pueblito,QUE,MX EPO
72208,158,EPZ,Acatlan de Juarez,JAL,MX EPZ
72209,158,ERS,El Rosario,SIN,MX ERS
72210,158,ESA,El Saucito,CHH,MX ESA
72211,158,ESC,Escobedo,NLE,MX ESC
72212,158,ESE,Ensenada,BCN,MX ESE
72213,158,ESO,El Salto,JAL,MX ESO
72214,158,ESZ,El Sauzal,BCN,MX ESZ
72215,158,ETM,Ecatepec de Morelos,MEX,MX ETM
72216,158,ETP,Ecatepec,OAX,MX ETP
72217,158,EVI,El Vizcaino,BCS,MX EVI
72218,158,EXL,La Tinaja,VER,MX EXL
72219,158,EZE,Ezequiel Montes,QUE,MX EZE
72220,158,FCP,Felipe Carrillo Puerto,ROO,MX FCP
72221,158,FGE,Fresnillo de Gonzalez Echeverria,ZAC,MX FGE
72222,158,FIM,Francisco I. Madero,DUR,MX FIM
72223,158,FLF,Fortin de las Flores,VER,MX FLF
72224,158,FRC,Frontera Comalapa,CHP,MX FRC
72225,158,FRE,Fresnillo,ZAC,MX FRE
72226,158,FRN,Frontera,TAB,MX FRN
72227,158,FRZ,Francisco Zarco,BCN,MX FRZ
72228,158,FTR,Frontera,COA,MX FTR
72229,158,FTZ,Fronteras,SON,MX FTZ
72230,158,G6H,BenitoJuarez,ROO,MX G6H
72231,158,GDL,Guadalajara,JAL,MX GDL
72232,158,GEN,General Cepeda,COA,MX GEN
72233,158,GES,General Escobedo,NLE,MX GES
72234,158,GET,General Teran,NLE,MX GET
72235,158,GGA,Garza Garcia,NLE,MX GGA
72236,158,GLN,Galeana,NLE,MX GLN
72237,158,GLP,Guadalupe,NLE,MX GLP
72238,158,GMA,Gustavo A. Madero,,MX GMA
72239,158,GMF,Gomez Farias,JAL,MX GMF
72240,158,GMP,Gomez Palacio,DUR,MX GMP
72241,158,GNL,Garcia,NLE,MX GNL
72242,158,GNS,Gonzales,TAM,MX GNS
72243,158,GON,Gonzalez,TAM,MX GON
72244,158,GRA,Granjas,GUA,MX GRA
72245,158,GSC,Golfo de Santa Clara,SON,MX GSC
72246,158,GSV,Guasave,SIN,MX GSV
72247,158,GUA,Guanajuato,GUA,MX GUA
72248,158,GUB,Guerrero Negro,,MX GUB
72249,158,GUE,San Jose Vista Hermosa,GRO,MX GUE
72250,158,GUL,Guamuchil,SIN,MX GUL
72251,158,GUV,Guanacevi,DUR,MX GUV
72252,158,GUZ,Ciudad Guzman,JAL,MX GUZ
72253,158,GVI,Guadalupe Victoria,DUR,MX GVI
72254,158,GYA,Guayabitos,NAY,MX GYA
72255,158,GYM,Guaymas,SON,MX GYM
72256,158,GZP,Guazapares,CHH,MX GZP
72257,158,HAU,Huamantla,TLA,MX HAU
72258,158,HDC,Huatusco de Chicuellar,VER,MX HDC
72259,158,HDG,Hidalgo,CAM,MX HDG
72260,158,HDP,Hidalgo del Parral,CHH,MX HDP
72261,158,HEA,Heroica Caborca,SON,MX HEA
72262,158,HGO,Hidalgo,TAM,MX HGO
72263,158,HHA,Huehuetoca,HID,MX HHA
72264,158,HHL,Huehuetlan,SLP,MX HHL
72265,158,HHY,Huichihuayan,SLP,MX HHY
72266,158,HID,Ciudad Hidalgo,CHP,MX HID
72267,158,HJP,Huajuapan,OAX,MX HJP
72268,158,HJZ,Huejotzingo,PUE,MX HJZ
72269,158,HMO,Hermosillo,SON,MX HMO
72270,158,HOP,Hopelchen,CAM,MX HOP
72271,158,HPA,Huichapan,HID,MX HPA
72272,158,HTO,Huatulco (Santa Maria Huatulco),OAX,MX HTO
72273,158,HTP,Tepeapulco,HID,MX HTP
72274,158,HUA,Huatabampo,SON,MX HUA
72275,158,HUE,Huehuetoca,ZAC,MX HUE
72276,158,HUH,Huehuetoca,MEX,MX HUH
72277,158,HUI,Huimanguillo,TAB,MX HUI
72278,158,HUJ,Huejutla de Reyes,HID,MX HUJ
72279,158,HUN,Hunucma,YUC,MX HUN
72280,158,HUO,Huauchinango,PUE,MX HUO
72281,158,HUP,Huiloapan,VER,MX HUP
72282,158,HUT,Huetamo,MIC,MX HUT
72283,158,HXC,Huixquilucan,MEX,MX HXC
72284,158,HXD,Huixquilucan de Degollado,MEX,MX HXD
72285,158,HYC,Huayacocotla,VER,MX HYC
72286,158,HZC,Huazulco,MOR,MX HZC
72287,158,HZR,Heroica Zitacuaro,MIC,MX HZR
72288,158,IA2,Ixtaczoquitlan,VER,MX IA2
72289,158,IGU,Iguala,GRO,MX IGU
72290,158,IMM,Ixtacuixtla de Mariano Matamoros,TLA,MX IMM
72291,158,IMU,Imuris,SON,MX IMU
72292,158,IR5,Ixtlahuaca de Rayon,MEX,MX IR5
72293,158,IRI,Irimbo,MIC,MX IRI
72294,158,IRP,Irapuato,GUA,MX IRP
72295,158,IS7,Izucar de Matamoros,PUE,MX IS7
72296,158,ISD,Isla Cedros,BCN,MX ISD
72297,158,ISJ,Isla Mujeres,ROO,MX ISJ
72298,158,ISL,Isla,VER,MX ISL
72299,158,IST,Ixhuatlan del Sureste,VER,MX IST
72300,158,IXM,Ixmiquilpan,HID,MX IXM
72301,158,IXT,Ixtlahuacan,MEX,MX IXT
72302,158,IZP,Iztapalapa,DIF,MX IZP
72303,158,IZT,Ixtepec,,MX IZT
72304,158,JAA,Jalacingo,VER,MX JAA
72305,158,JAL,Jalapa,,MX JAL
72306,158,JAO,Jalostotitlan,JAL,MX JAO
72307,158,JAZ,Jose Azueta,VER,MX JAZ
72308,158,JCM,Cajeme,SON,MX JCM
72309,158,JCN,Jacona,JAL,MX JCN
72310,158,JCP,Actopan,HID,MX JCP
72311,158,JCZ,Acatzingo,,MX JCZ
72312,158,JDD,Jilotlan de los Dolores,JAL,MX JDD
72313,158,JDP,Jaral del Progreso,GUA,MX JDP
72314,158,JDR,Jalisco Del Refugio,JAL,MX JDR
72315,158,JDZ,Juchitan de Zaragoza,OAX,MX JDZ
72316,158,JES,Jesus Maria,AGU,MX JES
72317,158,JHT,Ahuatepec,MOR,MX JHT
72318,158,JIL,Jilotepec,MEX,MX JIL
72319,158,JIQ,Jiquilpan de Juarez,MIC,MX JIQ
72320,158,JIU,Jiutepec (Temixco),MOR,MX JIU
72321,158,JIZ,Jilotzingo,MEX,MX JIZ
